variable,posterior mean
u_m1,0.726665207
u_m1,0.515670151
u_m1,0.531917454
u_m1,0.619165278
u_m1,0.638975274
u_m1,0.575003887
u_m1,0.692531952
u_m1,0.536546964
u_m1,0.544716373
u_m1,0.52106552
u_m1,0.518361931
u_m1,0.499903942
u_m1,0.375729433
u_m1,0.393284825
u_m1,0.505328277
u_m1,0.514534004
u_m1,0.523321436
u_m1,0.518462257
u_m1,0.500402156
u_m1,0.545495554
u_m1,0.535151852
u_m1,0.517174591
u_m1,0.377103799
u_m1,0.421989382
u_m1,0.525198953
u_m1,0.543283423
u_m1,0.514733539
u_m1,0.267846271
u_m1,0.48282325
u_m1,0.502365798
u_m1,0.496576996
u_m1,0.633665179
u_m1,0.500065471
u_m1,0.516748191
u_m1,0.500469071
u_m1,0.494316433
u_m1,0.500122914
u_m1,0.505525686
u_m1,0.555332407
u_m1,0.502400816
u_m1,0.635551112
u_m1,0.522285068
u_m1,0.51898506
u_m1,0.367404926
u_m1,0.650006288
u_m1,0.470403554
u_m1,0.501721173
u_m1,0.497351559
u_m1,0.439342439
u_m1,0.45317416
u_m1,0.54216238
u_m1,0.521707084
u_m1,0.508501899
u_m1,0.68422519
u_m1,0.627032762
u_m1,0.494686535
u_m1,0.497520544
u_m1,0.589176659
u_m1,0.695250865
u_m1,0.559606454
u_m1,0.682089434
u_m1,0.516575337
u_m1,0.497908682
u_m1,0.524530023
u_m1,0.423127888
u_m1,0.478633948
u_m1,0.640413546
u_m1,0.530018373
u_m1,0.431263924
u_m1,0.578679078
u_m1,0.482493914
u_m1,0.480379599
u_m1,0.475147176
u_m1,0.499435252
u_m1,0.762420732
u_m1,0.500008108
u_m1,0.706774508
u_m1,0.549633317
u_m1,0.720028048
u_m1,0.804605719
u_m1,0.575607363
u_m1,0.518094309
u_m1,0.540159122
u_m1,0.731359417
u_m1,0.553747997
u_m1,0.523342354
u_m1,0.529982399
u_m1,0.49474458
u_m1,0.706593895
u_m1,0.65011018
u_m1,0.434075442
u_m1,0.669952631
u_m1,0.43852114
u_m1,0.445138553
u_m1,0.60015
u_m1,0.647192317
u_m1,0.52846167
u_m1,0.755545174
u_m1,0.391639569
u_m1,0.710266289
u_m1,0.518027357
u_m1,0.48180755
u_m1,0.660229084
u_m1,0.504793836
u_m1,0.525419239
u_m1,0.556236728
u_m1,0.644327098
u_m1,0.513911913
u_m1,0.503408932
u_m1,0.503448551
u_m1,0.480483676
u_m1,0.444987677
u_m1,0.63503996
u_m1,0.396754629
u_m1,0.522823955
u_m1,0.530828183
u_m1,0.511812903
u_m1,0.533069701
u_m1,0.555034777
u_m1,0.330413264
u_m1,0.500632956
u_m1,0.43758914
u_m1,0.694045889
u_m1,0.507013208
u_m1,0.10396438
u_m1,0.695609012
u_m1,0.259984066
u_m1,0.523783214
u_m1,0.559579835
u_m1,0.539720741
u_m1,0.507820469
u_m1,0.53304828
u_m1,0.715856774
u_m1,0.498240379
u_m1,0.52524486
u_m1,0.522590573
u_m1,0.642748367
u_m1,0.513410583
u_m1,0.500098721
u_m1,0.497594388
u_m1,0.644626258
u_m1,0.543566904
u_m1,0.497803265
u_m1,0.598828701
u_m1,0.584085203
u_m1,0.499973103
u_m1,0.534784759
u_m1,0.394537185
u_m1,0.576083385
u_m1,0.248575904
u_m1,0.470416896
u_m1,0.692662924
u_m1,0.511902272
u_m1,0.577826264
u_m1,0.698875049
u_m1,0.632935373
u_m1,0.635669863
u_m1,0.566001593
u_m1,0.517152605
u_m1,0.434978756
u_m1,0.500275908
u_m1,0.398660907
u_m1,0.689756341
u_m1,0.606131196
u_m1,0.413908797
u_m1,0.932051803
u_m1,0.556616477
u_m1,0.682919713
u_m1,0.555274262
u_m1,0.497928842
u_m1,0.503035808
u_m1,0.531590794
u_m1,0.501958159
u_m1,0.499488204
u_m1,0.497052652
u_m1,0.532069719
u_m1,0.572818717
u_m1,0.696289004
u_m1,0.524369614
u_m1,0.475555361
u_m1,0.598316417
u_m1,0.185795791
u_m1,0.655356555
u_m1,0.539909614
u_m1,0.50241264
u_m1,0.503071946
u_m1,0.466842222
u_m1,0.538452715
u_m1,0.498722428
u_m1,0.556270703
u_m1,0.647483129
u_m1,0.728239281
u_m1,0.543202428
u_m1,0.55331851
u_m1,0.526798658
u_m1,0.500696046
u_m1,0.465140879
u_m1,0.500339745
u_m1,0.499438585
u_m1,0.592282623
u_m1,0.560517565
u_m1,0.481811241
u_m1,0.602804915
u_m1,0.656830292
u_m1,0.613379245
u_m1,0.502206982
u_m1,0.438930404
u_m1,0.574248174
u_m1,0.710942388
u_m1,0.560202725
u_m1,0.589908038
u_m1,0.531118033
u_m1,0.679641685
u_m1,0.651184801
u_m1,0.528570691
u_m1,0.476671422
u_m1,0.723426917
u_m1,0.570315864
u_m1,0.541177863
u_m1,0.536803435
u_m1,0.391081641
u_m1,0.627941344
u_m1,0.567514996
u_m1,0.500057259
u_m1,0.410998653
u_m1,0.505373343
u_m1,0.517949825
u_m1,0.914333517
u_m1,0.632710651
u_m1,0.467082897
u_m1,0.531336522
u_m1,0.510899694
u_m1,0.039326229
u_m1,0.541834169
u_m1,0.546686845
u_m1,0.511217099
u_m1,0.543254154
u_m1,0.500423949
u_m1,0.353197608
u_m1,0.589285511
u_m1,0.458130664
u_m1,0.499824727
u_m1,0.519009218
u_m1,0.455450574
u_m1,0.694420397
u_m1,0.373001759
u_m1,0.381205009
u_m1,0.74646075
u_m1,0.652795831
u_m1,0.646842516
u_m1,0.700397691
u_m1,0.540868942
u_m1,0.508200488
u_m1,0.387857547
u_m1,0.697653813
u_m1,0.806332846
u_m1,0.504505947
u_m1,0.470938551
u_m1,0.482551101
u_m1,0.614041661
u_m1,0.553999943
u_m1,0.297641759
u_m1,0.256388703
u_m1,0.496426501
u_m1,0.499653905
u_m1,0.427662386
u_m1,0.497559714
u_m1,0.567216091
u_m1,0.504977484
u_m1,0.542518369
u_m1,0.499785044
u_m1,0.449115844
u_m1,0.718278745
u_m1,0.498821994
u_m1,0.518626128
u_m1,0.477335479
u_m1,0.696513435
u_m1,0.53085639
u_m1,0.74197896
u_m1,0.330595105
u_m1,0.542728491
u_m1,0.580356248
u_m1,0.6836497
u_m1,0.57221065
u_m1,0.625144532
u_m1,0.449154734
u_m1,0.767153458
